cg00008629	9:114593661-115593661
cg00039326	1:36115845-37115845
cg00050692	2:25024877-26024877
cg00073090	19:765879-1765879
cg00088797	3:12476288-13476288
cg00094412	6:29092854-30092854
cg00134210	10:14144132-15144132
cg00138407	3:46886505-47886505
cg00144180	2:239794362-240794362
cg00151370	6:15823285-16823285
cg00153395	1:64827523-65827523
cg00159243	12:108523799-109523799
cg00207731	15:90916118-91916118
cg00210249	10:70635679-71635679
cg00227093	5:149479838-150479838
cg00244001	10:125836805-126836805
cg00252813	12:6142229-7142229
cg00259097	16:70270604-71270604
cg00259742	11:1371101-2371101
cg00271311	11:57889290-58889290
cg00275828	17:38722690-39722690
cg00277397	7:71300412-72300412
cg00283283	5:140391767-141391767
cg00288598	8:141055295-142055295
cg00295325	2:169387932-170387932
cg00309945	1:21648926-22648926
cg00310412	15:74224918-75224918
cg00320216	11:127950029-128950029
cg00340958	20:47828658-48828658
cg00382138	4:110223299-111223299
cg00391067	2:38645400-39645400
cg00399027	16:85176861-86176861
cg00417304	11:44624456-45624456
cg00448868	16:66275493-67275493
cg00461022	5:16118052-17118052
cg00464046	7:134354551-135354551
cg00467296	11:4428760-5428760
cg00472758	16:2052820-3052820
cg00506299	3:15969127-16969127
cg00508575	12:89550967-90550967
cg00509772	20:31773129-32773129
cg00534468	16:81079629-82079629
cg00534655	5:138992727-139992727
cg00548098	16:10795667-11795667
cg00574958	11:68107622-69107622
cg00602811	2:144778564-145778564
cg00607627	16:28495994-29495994
cg00634542	2:218754588-219754588
cg00639656	17:26550360-27550360
cg00657780	16:49785254-50785254
cg00701951	10:123728478-124728478
cg00705600	4:185320660-186320660
cg00711496	19:49691497-50691497
cg00782811	6:45793734-46793734
cg00812761	4:53299391-54299391
cg00817377	7:72941057-73941057
cg00828762	8:41734732-42734732
cg00851028	1:234405772-235405772
cg00883689	2:54302904-55302904
cg00908292	17:38199009-39199009
cg00911776	7:130182239-131182239
cg00934987	17:56105468-57105468
cg00944304	15:40238072-41238072
cg00950718	1:159359904-160359904
cg00951869	14:24305349-25305349
cg00973118	16:0-874570
cg00978848	2:235180305-236180305
cg00986580	14:22451241-23451241
cg00994936	19:923902-1923902
cg01004980	3:48383069-49383069
cg01015663	1:23229692-24229692
cg01059398	3:171735808-172735808
cg01101459	1:234371477-235371477
cg01127300	22:38114796-39114796
cg01130991	17:46010392-47010392
cg01153613	6:139428856-140428856
cg01180628	3:4523394-5523394
cg01218206	11:116433977-117433977
cg01231543	16:68241748-69241748
cg01242348	14:23086886-24086886
cg01243072	2:42898171-43898171
cg01243823	16:50232212-51232212
cg01269795	6:25940101-26940101
cg01286624	2:242374617-243374617
cg01297020	13:105617425-106617425
cg01311537	10:49886709-50886709
cg01313732	12:9752119-10752119
cg01317029	3:183563497-184563497
cg01331461	21:44845152-45845152
cg01332882	20:47374155-48374155
cg01350996	16:70293986-71293986
cg01368219	3:54499791-55499791
cg01373248	3:17980297-18980297
cg01383911	6:29797627-30797627
cg01391548	10:96568696-97568696
cg01413354	9:135517755-136517755
cg01437204	1:201630344-202630344
cg01447475	2:30010887-31010887
cg01473507	4:14663451-15663451
cg01511901	13:30504719-31504719
cg01526748	3:191430926-192430926
cg01538969	6:30124636-31124636
cg01561259	17:78060781-79060781
cg01597398	17:39750727-40750727
cg01647632	15:88938905-89938905
cg01649611	2:43021066-44021066
cg01651915	8:55295551-56295551
cg01652514	13:114331142-115331142
cg01671681	3:154921735-155921735
cg01676795	7:75086348-76086348
cg01702055	6:12803065-13803065
cg01710361	1:51269687-52269687
cg01739831	16:89422539-90422539
cg01741041	7:5067862-6067862
cg01748082	9:137272580-138272580
cg01765641	3:17281888-18281888
cg01771416	3:101067360-102067360
cg01782486	1:154486512-155486512
cg01798813	17:3406674-4406674
cg01799015	19:207791-1207791
cg01799818	17:94735-1094735
cg01818539	17:32824773-33824773
cg01820374	12:6382083-7382083
cg01823718	11:23515048-24515048
cg01833890	12:2064063-3064063
cg01871427	12:89841955-90841955
cg01875596	18:22433696-23433696
cg01881899	21:43152704-44152704
cg01890836	17:16555584-17555584
cg01891966	7:26702344-27702344
cg01894508	2:69689111-70689111
cg01904393	12:51315083-52315083
cg01906637	14:21004131-22004131
cg01955153	16:50269852-51269852
cg01965380	1:89821064-90821064
cg01973483	12:123091123-124091123
